gvkey,conm,tic,sic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,COUNTY,GSECTOR,GGROUP,GIND,GSUBIND
001101,ACME-HAMILTON MFG CORP,1438B,3060,P,01,LU,28679,23562,1973-01-31,1978-01-31,,,,,
001103,ACME PRECISION PRODUCTS INC,5848B,3559,C,01,LU,28695,23564,1966-01-31,1988-07-13,Wayne,45,4520,452050,45205010
001104,ACME UNITED CORP,ACU,3842,P,01,LU,60038,370,1972-12-14,E,,35,3510,351010,35101020
001106,ACRO ENERGY CORP,ACRQE,3433,C,01,LU,10699,5193,1982-01-28,1986-10-31,,20,2010,201020,20102010
001108,PRINCETON HOLDINGS INC,PRHD,5020,C,01,LC,51510,20021,1970-11-11,1996-10-18,,25,2550,255010,25501010
001109,ALUF HOLDINGS INC,AHIX,3944,C,01,LC,85084,7338,1984-12-12,1985-12-26,,25,2520,252020,25202010
001109,ALUF HOLDINGS INC,AHIX,3944,C,01,LC,85084,7338,1986-09-22,2009-04-24,,25,2520,252020,25202010
001111,ACTIVISION INC,ATVI.1,7372,C,02,LC,79678,12499,1993-10-22,2008-07-09,,45,4510,451030,45103030
001111,ACTIVISION INC,ATVI.1,7372,C,00X,LC,10701,6060,1983-06-09,1985-05-30,,45,4510,451030,45103030
001111,ACTIVISION INC,ATVI.1,7372,C,02,LC,10701,6060,1985-05-31,1991-03-28,,45,4510,451030,45103030
001112,ACTMEDIA INC,ACTM.,7310,P,01,LU,10720,6611,1983-11-22,1989-07-31,,25,2540,254010,25401010
001113,ACTON CORP  -OLD,ATN.1,4841,C,01,LC,43967,20022,1966-11-22,1988-04-29,Middlesex,25,2540,254010,25401020
001114,ACUSHNET CO,ACSH,3060,P,01,LC,10728,53,1972-12-14,1976-05-28,,,,,
001115,ADAC LABORATORIES,ADAC.,3844,P,01,LU,10752,58,1979-12-05,2000-12-29,,35,3510,351010,35101010
001117,BK TECHNOLOGIES CORP,BKTI,3663,P,02,LC,10779,65,1978-10-03,2003-05-07,,45,4520,452010,45201020
001117,BK TECHNOLOGIES CORP,BKTI,3663,P,02,LC,10779,65,2005-10-14,E,,45,4520,452010,45201020
001118,ADAMS DRUG INC,ADG.1,5912,P,01,LU,57306,25563,1972-12-20,1984-11-30,Providence,,,,
001119,ADAMS DIVERSIFIED EQUITY FD,ADX,6726,C,00X,LU,10065,20023,1982-01-01,1982-01-28,,,,,
001119,ADAMS DIVERSIFIED EQUITY FD,ADX,6726,P,01,LU,10065,20023,1982-01-29,E,,,,,
001120,ADAMS-MILLIS CORP,ALL.2,2250,P,01,LU,17224,22757,1962-01-31,1988-10-31,,25,2520,252030,25203010
001120,ADAMS-MILLIS CORP,ALL.2,2250,C,00X,LU,17224,22757,1950-01-01,1962-01-30,,25,2520,252030,25203010
001121,ADAMS RESOURCES & ENERGY INC,AE,5172,P,01,LU,61487,59,1975-02-07,E,,10,1010,101020,10102030
001122,ADAMS RUSSELL,AAR.1,4841,P,01,LC,47650,24955,1969-02-05,1987-12-31,,25,2540,254010,25401020
001123,ADCOR ELECTRONICS INC,ADCR,3679,C,01,LU,85105,7521,1985-04-29,1986-12-19,,45,4520,452050,45205020
001124,ADDISON-WESLEY PUB  -CL B,ADSNB,2731,P,01,LU,10787,73,1972-12-14,1988-03-24,,25,2540,254010,25401040
001125,ADDITIVE TECHNOLOGY CORP,4304B,6794,P,01,LU,10795,7002,1984-04-26,1985-08-30,,20,2020,202010,20201030
001126,ADDMASTER CORP,ADDC,3578,C,00X,LU,10808,62,1973-06-01,1978-01-30,,45,4520,452040,45204010
001126,ADDMASTER CORP,ADDC,3578,C,01,LU,10808,62,1978-01-31,1990-06-19,,45,4520,452040,45204010
001128,ADIA SERVICES INC,ADIA.,7363,P,01,LU,85113,7245,1984-10-02,1995-01-31,,20,2020,202010,20201040
001129,ADVANCED FUEL SYSTEMS INC,AFSI.1,3714,P,01,LU,10816,5232,1981-12-10,1983-08-31,Sedgwick,,,,
001130,ADVANCED LOGIC SYSTEMS INC,5710B,3572,C,01,LU,10824,7087,1984-06-15,1987-06-10,,45,4520,452020,45202020
001131,ADLEY CORP,ADLY,4210,P,01,LU,10832,22229,1972-12-14,1973-07-31,,,,,
001133,ADMIRAL CORP,ADL.1,3651,C,00X,LU,22488,23147,1950-01-01,1962-01-30,,,,,
001133,ADMIRAL CORP,ADL.1,3651,P,01,LU,22488,23147,1962-01-31,1974-04-30,,,,,
001134,ADOBE BUILDING CENTERS INC,ADBEA,5030,P,01,LC,10859,60,1978-01-31,1978-10-03,,,,,
001134,ADOBE BUILDING CENTERS INC,ADBEA,5030,C,00X,LC,10859,60,1973-01-01,1978-01-30,,,,,
001135,ADOBE OIL & GAS CORP,AOI.1,1311,P,01,LU,57461,25571,1973-11-26,1985-11-29,,10,1010,101020,10102020
001137,ADVANCE CIRCUITS INC,ADVC.,3672,P,01,LU,10867,76,1980-12-05,1995-10-31,,20,2010,201040,20104010
001138,ADVANCE ROSS CORP,AROS.,6099,P,01,LU,10875,347,1972-12-14,1996-01-31,,40,4020,402010,40201020
001139,ADVANCED CHEMICAL TECHNOLOGY,ACTC.,3412,P,01,LU,10891,54,1978-01-31,1981-08-31,Los Angeles,,,,
001139,ADVANCED CHEMICAL TECHNOLOGY,ACTC.,3412,C,00X,LU,10891,54,1973-02-01,1978-01-30,Los Angeles,,,,
001140,ADVANCED COMMUNICATIONS INC,5022B,3661,C,01,LU,10904,6815,1984-01-26,1986-10-27,,45,4520,452010,45201020
001141,ADVANCED COMPUTER TECHNIQUES,AVCD,7373,C,01,LU,10912,55,1978-01-31,1991-07-03,New York,45,4510,451030,45103020
001141,ADVANCED COMPUTER TECHNIQUES,AVCD,7373,C,00X,LU,10912,55,1973-04-01,1978-01-30,New York,45,4510,451030,45103020
001142,ADVANCED ENERGY CORP,5119B,4953,P,01,LU,46624,2454,1982-01-29,1986-09-30,,20,2020,202010,20201050
001143,ADVANCED ENERGY RESOURCES,3AVEG,1381,P,01,LU,78523,27331,1984-05-10,1985-03-29,Kern,10,1010,101010,10101010
001145,ADVANCED SYSTEMS INC,ASY.2,7812,P,01,LU,65840,78,1980-07-31,1987-12-31,Cook,25,2540,254010,25401030
001145,ADVANCED SYSTEMS INC,ASY.2,7812,C,00X,LU,65840,78,1976-11-01,1980-07-30,Cook,25,2540,254010,25401030
001146,ADVENT CORP,ADVNQ.,3651,P,01,LU,10971,77,1972-12-14,1981-04-14,Suffolk,,,,
001147,ADVERTISING UNLIMITED INC,AUNL,2750,P,01,LU,10990,410,1979-01-31,1987-10-23,Brown,20,2020,202010,20201010
001148,ADVEST GROUP INC,ADV.2,6211,P,01,LU,64514,420,1980-11-21,2001-02-28,,40,4020,402010,40201020
001150,AEGIS CORP,AO.1,3730,P,01,LU,28716,23566,1966-04-29,1984-11-30,,,,,
001151,AEQUITRON MEDICAL INC,AQTN,3842,P,01,LU,10998,6943,1984-03-22,1996-12-31,,35,3510,351010,35101010
001153,AERO-FLOW DYNAMICS INC,AER.2,5084,P,01,LU,28724,23567,1962-07-02,1983-01-31,New York,,,,
001154,AERO SYSTEMS ENGINEERING INC,AERS.,8711,P,01,LU,85164,7538,1985-05-10,2003-12-23,,20,2010,201060,20106020
001155,AERO SYSTEMS INC,AESM,5080,C,01,LU,11010,87,1975-06-30,1993-07-30,,25,2550,255010,25501010
001156,AERODEX INC,AOX.1,3724,P,01,LU,46973,24915,1968-10-17,1975-06-30,,,,,
001157,AEROJET GENERAL CORP,AJT,3721,P,01,LU,28732,23568,1962-07-02,1972-10-31,,,,,
001159,AERONCA INC,ARN.2,3728,P,01,LU,28740,23569,1966-01-31,1986-09-05,,20,2010,201010,20101010
001161,ADVANCED MICRO DEVICES,AMD,3674,P,01,LU,61241,211,1972-12-14,E,,45,4530,453010,45301020
